Time,B6.0H,B6.24H,B6.72H,B6.120H,B6.168H,P1.0H,P1.24H,P1.72H,P1.120H,P1.168H,MK1.0H,MK1.24H,MK1.72H,MK1.120H,MK1.168H,T22.0H,T22.24H,T22.72H,T22.120H,T22.168H,Control.0H,Control.24H,Control.72H,Control.120H,Control.168H
1-Isobutyl-4-methylbenzene  ,13657.31,586.74,0,0,0,13776.52,796.43,0,0,0,7563.85,372.21,0,0,0,12204.36,682.56,0,0,0,8131.3,,0,0,0
4-Isopropyl-m-xylene,29050.52,3337.53,0,0,0,26868.98,4879.28,0,0,0,26132.66,1889.01,0,0,0,30832.9,3151.72,0,0,0,24618.09,1648.82,0,0,0
Durene,36128.79,2605.2,0,0,0,37405.5,3817.69,0,0,0,20137.62,2102.68,0,0,0,29832.62,3583.09,0,0,0,19542.07,1362.63,0,0,0
Pseudocumene,70134.95,,0,0,0,74309,,0,0,0,42924.52,,0,0,0,64690.24,,0,0,0,28309.04,,0,0,0
o-Propyltoluene,137916.81,4880.29,0,0,0,257793.52,6731.24,0,0,0,154396.8,2299.03,0,0,0,216996.91,7191.49,0,0,0,125772.75,,0,0,0
2-Phenylpentane,11731.8,1126.18,0,0,0,13788.01,1094.91,0,0,0,9150.24,405.92,0,0,0,11870.07,782.57,0,0,0,9394.25,389.23,0,0,0
"2,2-Dimethylindane  ",7097.88,155.42,0,0,0,7000.17,209.46,0,0,0,5060.43,74.19,0,0,0,6216.45,475.44,0,0,0,3692.84,,0,0,0
"3,4-Dihydro-2-quinoxalinol",5728.8,593.1,0,0,0,9556.82,1277.72,0,0,0,7090.72,572.58,0,0,0,6348.04,629.02,0,0,0,6480.36,,0,0,0
1-Isobutyl-4-methylbenzene  ,38189.75,2816.19,0,0,0,43142.54,4482.59,0,0,0,28916.64,2398.43,0,0,0,29043.04,3196.39,0,0,0,23252.98,1763.78,0,0,0
"n-Hexyl-1,3-benzoxazol-2-amine  ",5403.47,,0,0,0,6133.88,,0,0,0,4428.74,,0,0,0,5222.34,182.04,0,0,0,3913.86,,0,0,0
tert-Amylbenzene,21953.03,2014.81,0,0,0,21526.34,2654.89,0,0,0,11233.48,928.62,0,0,0,20176.2,1592.53,0,0,0,13123.79,1057.3,0,0,0
"3,5-Diethyltoluene",16049.6,1482.33,0,0,0,16347,1987.96,0,0,0,11231.5,1119.97,0,0,0,15471.46,1619.42,0,0,0,11779.28,991.99,0,0,0
β-Cymene,38405.34,1164.02,0,0,0,37894.84,2089.23,0,0,0,21235.84,850.07,0,0,0,32215.48,1180.89,0,0,0,12570.5,,0,0,0
5-Ethyl-m-xylene,33317.2,534.49,0,0,0,36520.62,567.7,0,0,0,18959.08,508.26,0,0,0,32437.23,573.99,0,0,0,13951.67,,0,0,0
4-Ethyl-m-xylene,57874.07,517.59,0,0,0,61509.24,587.96,0,0,0,33558.12,,0,0,0,50549.29,847.32,0,0,0,25619.38,,0,0,0
Isodurene,15796.35,146.59,0,0,0,19629.01,155.47,0,0,0,10392.02,,0,0,0,10866.49,247.68,0,0,0,9884.19,,0,0,0
1-Sec-butyl-4-methylbenzene  ,40961.7,3590.62,0,0,0,40150.73,5597.48,0,0,0,31816.41,3619.15,0,0,0,31934.41,4687.39,0,0,0,29173.15,2111.19,0,0,0
p-Propyltoluene,30859.01,399.74,0,0,0,30403.5,926.06,0,0,0,18536.45,,0,0,0,26951.77,664.14,0,0,0,15357.34,,0,0,0
Cymene,23519.66,248.96,0,0,0,25216.66,221.88,0,0,0,12777.83,,0,0,0,20014.08,500.91,0,0,0,10337.84,,0,0,0
p-Cymene,23433.52,2826.75,0,0,0,21322.61,3648.66,0,0,0,14066.28,2144.35,0,0,0,18674.64,2666.72,0,0,0,13044.64,1945.13,0,0,0
D-Limonene,36203.33,,0,0,0,46759,,0,0,0,33385.67,,0,0,0,33327,,0,0,0,24772.67,,0,0,0
